Cell_Num	X	Y	Genenames	CellGeneCount	ClassName	Prob
40	101.0	1511.0	['3110035E14Rik', '6330403K07Rik', 'Enpp2', 'Pcp4', 'Plp1', 'Prkca']	[0.9934063076746633, 0.9866597470142107, 0.08763780870047864, 0.9771977254251331, 0.9237938187691009, 0.9928709449295184]	['Astro.1', 'Astro.2', 'Astro.3', 'Astro.4', 'Astro.5', 'Calb2.Vip.Gpd1', 'Calb2.Vip.Igfbp4', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.5', 'PC.CA1.1', 'Vip.Crh.C1ql1', 'Vsmc', 'Zero']	[0.012082109228947216, 0.0023580525861155695, 0.005387006383186956, 0.0019608466490209754, 0.02535582596075986, 0.0016189195359746457, 0.0012189086049398036, 0.010649391653870154, 0.01773343652507386, 0.0044289976041646025, 0.025344851799135457, 0.02783213896552049, 0.0010315493127705825, 0.01619882797278121, 0.0011343731491734398, 0.012633193606574318, 0.8288251890848682]
41	103.0	272.0	['6330403K07Rik', 'Cryab', 'Enpp2', 'Id2', 'Npy', 'Pcp4', 'Plp1']	[0.015093260797020601, 4.911957627578344, 2.9938611472299375, 0.04370726435195162, 0.6151534664870822, 0.0025864445863793004, 15.208102929411607]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.21414163601789693, 0.10777270010560268, 0.16694226619657804, 0.44451368888080456, 0.06656853161572475]
42	107.0	334.0	['Cryab', 'Enpp2', 'Pcp4', 'Plp1', 'Prkca', 'Tac1']	[0.9987586417556485, 1.9928524993027181, 0.003325045884158315, 12.867928972826181, 0.9905353816628989, 0.01884041716997594]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0456318792963154, 0.10175136583421705, 0.020261446302960288, 0.06516086473385903, 0.36470802514370365, 0.4024864011034886]
43	97.0	115.0	['Cryab']	[0.9881456976521509]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Vsmc', 'Zero']	[0.001736608237225823, 0.001598420688663926, 0.0025039734271340127, 0.007836330411261527, 0.005606990753706978, 0.001215053451898053, 0.00790036349975819, 0.008945255825904408, 0.011947133530468116, 0.9476991284438637]
44	108.0	1466.0	['Cryab', 'Enpp2', 'Id2', 'Plp1', 'Pvalb', 'Reln']	[1.997180292340457, 4.79080241799116, 0.021194716922203215, 16.006641688481302, 0.002021041807161226, 0.9921447336085678]	['Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.4358810697975732, 0.0994466814841621, 0.11117914668302468, 0.31858447864742817, 0.03472569749711439]
45	101.0	1402.0	['3110035E14Rik', 'Arpp21', 'Cplx2', 'Id2', 'Plp1', 'Sst']	[0.9902548632461264, 0.9941378530327373, 0.06394359860660577, 0.0023749407921258804, 3.6986557884147677, 0.9942481059924057]	['Astro.1', 'Astro.4', 'Astro.5', 'Endo', 'Eryth.1', 'Eryth.2', 'Microglia.1', 'Microglia.2', 'Oligo.1', 'Oligo.3', 'Oligo.4', 'Oligo.5', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.0015486991621875385, 0.0010794729773861307, 0.004663537360969928, 0.0045285752861222665, 0.05633887465720201, 0.6150468700382564, 0.006850927349821291, 0.004585117581093448, 0.006507600804752471, 0.0013343350857856135, 0.018339031932200864, 0.21829486980555102, 0.0011593366147966185, 0.005117992619113272, 0.05241954665848688]
46	112.0	818.0	['Cryab', 'Enpp2', 'Id2', 'Plp1']	[1.9328671860168463, 2.9857816798836465, 2.98093115078702, 17.742194019952688]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.0018792770725290105, 0.21033711597855134, 0.08152931627440307, 0.07806352705409579, 0.42829264996329425, 0.19989811365687934]
47	118.0	57.0	['Cryab', 'Enpp2', 'Npy', 'Plp1', 'Reln', 'Satb1']	[0.9994936969911786, 2.957001166723693, 0.9330642149738536, 18.033743768167653, 0.992436445555397, 0.045746703517094325]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.004871869080399962, 0.3134854987108836, 0.03699254986896961, 0.07384873284507473, 0.3985948328923138, 0.17220651659926875]
48	110.0	984.0	['3110035E14Rik', 'Cryab', 'Npy', 'Pcp4', 'Plp1', 'Snca', 'Trp53i11']	[1.5746748416431653, 1.968920122636908, 0.9935445002339036, 0.06891776787406223, 7.999073916146001, 0.19566465420867366, 0.16788790305233436]	['Eryth.2', 'Oligo.1', 'Oligo.2', 'Oligo.3', 'Oligo.4', 'Oligo.5']	[0.06813326539180614, 0.020848840050438817, 0.0013886858602456568, 0.0044078025902230394, 0.04789891403405792, 0.8573171111449652]
49	116.0	752.0	['Cryab', 'Sst', 'Sulf2', 'Wfs1']	[0.7253882882545319, 0.0011894823466370426, 0.9945869910142012, 1.9891339111757653]	['Astro.1', 'Astro.2', 'Astro.5', 'Endo', 'Eryth.1', 'Microglia.1', 'Microglia.2', 'PC.CA1.1', 'Vsmc', 'Zero']	[0.0016970900313202002, 0.0015061845780064453, 0.002824251388734162, 0.009252694306296511, 0.004936135569984107, 0.01001786376881732, 0.008704030489656634, 0.00259885061838257, 0.009489731288435516, 0.946281706380926]
